zip,zone
01001,6
01002,6
01005,6
01007,6
01008,6
01010,6
01011,6
01012,6
01013,6
01020,6
01022,6
01026,5
01027,6
01028,6
01029,5
01030,6
01031,6
01032,6
01033,6
01034,6
01035,6
01036,6
01037,6
01038,6
01039,6
01040,6
01050,6
01053,6
01054,6
01056,6
01057,6
01060,6
01062,6
01068,6
01069,6
01070,5
01071,6
01072,5
01073,6
01075,6
01077,6
01080,6
01081,6
01082,6
01083,6
01084,6
01085,6
01088,6
01089,6
01092,6
01095,6
01096,6
01098,6
01103,6
01104,6
01105,6
01106,6
01107,6
01108,6
01109,6
01118,6
01119,6
01128,6
01129,6
01151,6
01201,5
01220,5
01222,6
01223,6
01225,5
01226,5
01230,6
01235,5
01236,5
01237,5
01238,5
01240,5
01242,5
01244,5
01245,5
01247,5
01253,5
01254,5
01255,6
01256,5
01257,6
01258,6
01259,6
01262,5
01264,5
01266,5
01267,5
01301,6
01330,5
01331,5
01337,5
01338,5
01339,5
01340,5
01341,6
01342,6
01344,6
01346,5
01349,6
01350,5
01351,6
01355,5
01360,5
01364,5
01366,6
01367,5
01368,5
01370,5
01373,6
01375,6
01376,6
01378,5
01379,5
01380,5
01420,6
01430,6
01431,6
01432,6
01436,5
01438,5
01440,5
01450,6
01451,6
01452,5
01453,6
01460,6
01462,6
01463,6
01464,6
01467,6
01468,5
01469,6
01473,6
01474,6
01475,5
01501,6
01503,6
01504,6
01505,6
01506,6
01507,6
01510,6
01515,6
01516,6
01518,6
01519,6
01520,6
01521,6
01522,6
01523,6
01524,6
01527,6
01529,6
01531,6
01532,6
01534,6
01535,6
01536,6
01537,6
01540,6
01541,6
01542,6
01543,6
01545,6
01550,6
01560,6
01562,6
01564,6
01566,6
01568,6
01569,6
01570,6
01571,6
01581,6
01583,6
01585,6
01588,6
01590,6
01602,6
01603,6
01604,6
01605,6
01606,6
01607,6
01608,6
01609,6
01610,6
01611,6
01612,6
01701,6
01702,6
01719,6
01720,6
01721,6
01730,6
01731,6
01740,6
01741,6
01742,6
01745,6
01746,6
01747,6
01748,6
01749,6
01752,6
01754,6
01756,6
01757,6
01760,6
01770,6
01772,6
01773,6
01775,6
01776,6
01778,6
01801,6
01803,6
01810,6
01821,6
01824,6
01826,6
01827,6
01830,6
01832,6
01833,6
01834,6
01835,6
01840,6
01841,6
01843,6
01844,6
01845,6
01850,6
01851,6
01852,6
01854,6
01860,6
01862,6
01863,6
01864,6
01867,6
01876,6
01879,6
01880,6
01886,6
01887,6
01890,6
01902,7
01904,6
01905,7
01906,6
01907,7
01908,7
01913,6
01915,6
01921,6
01922,6
01923,6
01929,6
01930,7
01938,6
01940,6
01944,7
01945,7
01949,6
01950,6
01951,6
01952,6
01960,6
01966,7
01969,6
01970,7
01982,6
01983,6
01984,6
01985,6
02019,6
02021,6
02025,7
02026,6
02030,6
02032,6
02035,6
02038,6
02043,7
02045,7
02048,6
02050,7
02052,6
02053,6
02054,6
02056,6
02061,7
02062,6
02066,7
02067,6
02071,6
02072,6
02081,6
02090,6
02093,6
02108,7
02109,7
02110,7
02111,7
02113,7
02114,7
02115,7
02116,7
02118,7
02119,7
02120,7
02121,6
02122,7
02124,6
02125,7
02126,6
02127,7
02128,7
02129,7
02130,6
02131,6
02132,6
02134,6
02135,6
02136,6
02138,6
02139,6
02140,6
02141,7
02142,7
02143,7
02144,6
02145,7
02148,6
02149,7
02150,7
02151,7
02152,7
02155,6
02163,6
02169,6
02170,7
02171,7
02176,6
02180,6
02184,6
02186,6
02188,6
02189,7
02190,6
02191,7
02210,7
02215,6
02222,7
02301,6
02302,6
02322,6
02324,6
02330,6
02332,7
02333,6
02338,6
02339,6
02341,6
02343,6
02346,6
02347,6
02351,6
02356,6
02358,6
02359,6
02360,7
02364,7
02366,6
02367,6
02368,6
02370,6
02375,6
02379,6
02382,6
02420,6
02421,6
02445,6
02446,6
02451,6
02452,6
02453,6
02458,6
02459,6
02460,6
02461,6
02462,6
02464,6
02465,6
02466,6
02467,6
02468,6
02472,6
02474,6
02476,6
02478,6
02481,6
02482,6
02492,6
02493,6
02494,6
02532,7
02534,7
02535,7
02536,7
02537,7
02538,7
02539,7
02540,7
02542,7
02543,7
02554,7
02556,7
02558,7
02559,7
02563,7
02568,7
02571,7
02575,7
02576,7
02601,7
02630,7
02631,7
02632,7
02633,7
02635,7
02638,7
02639,7
02642,7
02644,7
02645,7
02646,7
02647,7
02648,7
02649,7
02650,7
02652,7
02653,7
02655,7
02657,7
02659,7
02660,7
02661,7
02664,7
02666,7
02667,7
02668,7
02669,7
02670,7
02671,7
02672,7
02673,7
02675,7
02702,7
02703,6
02713,7
02715,7
02717,7
02718,6
02719,7
02720,7
02721,7
02723,7
02724,7
02725,7
02726,7
02738,7
02739,7
02740,7
02743,7
02744,7
02745,7
02746,7
02747,7
02748,7
02760,6
02762,6
02763,6
02764,6
02766,6
02767,6
02769,7
02770,7
02771,7
02777,7
02779,6
02780,6
02790,7
02804,6
02806,7
02807,7
02808,7
02809,7
02812,6
02813,7
02814,6
02815,6
02816,6
02817,6
02818,7
02822,6
02825,6
02827,6
02828,6
02830,6
02831,6
02832,6
02833,6
02835,7
02836,7
02837,7
02838,6
02839,6
02840,7
02842,7
02852,7
02857,6
02858,6
02859,6
02860,7
02861,7
02863,7
02864,6
02865,6
02871,7
02874,7
02875,6
02878,7
02879,7
02881,6
02882,7
02885,7
02886,7
02888,7
02889,7
02891,7
02892,6
02893,6
02894,6
02895,6
02896,6
02898,6
02903,7
02904,6
02905,7
02906,7
02907,7
02908,7
02909,7
02910,7
02911,6
02914,7
02915,7
02916,7
02917,6
02919,6
02920,7
02921,6
03031,6
03032,6
03033,6
03034,6
03036,6
03037,6
03038,6
03042,6
03043,6
03044,6
03045,6
03047,6
03048,6
03049,6
03051,6
03052,6
03053,6
03054,6
03055,6
03057,6
03060,6
03062,6
03063,6
03064,6
03070,6
03071,6
03076,6
03077,6
03079,6
03082,6
03084,6
03086,6
03087,6
03101,6
03102,6
03103,6
03104,6
03106,6
03109,6
03110,6
03215,5
03216,5
03217,5
03218,5
03220,5
03221,5
03222,5
03223,5
03224,5
03225,5
03226,5
03227,5
03229,5
03230,5
03233,5
03234,5
03235,5
03237,5
03240,5
03241,5
03242,5
03243,5
03244,6
03246,5
03251,5
03253,5
03254,5
03255,5
03256,5
03257,5
03259,5
03260,5
03261,6
03262,5
03263,5
03264,5
03266,5
03268,5
03269,5
03273,5
03275,6
03276,5
03278,5
03279,5
03280,6
03281,6
03282,5
03284,5
03287,5
03290,6
03291,6
03301,5
03303,5
03304,6
03307,5
03431,5
03440,6
03441,5
03442,5
03443,6
03444,6
03445,6
03446,5
03447,6
03448,6
03449,6
03450,6
03451,5
03452,6
03455,6
03456,6
03457,6
03458,6
03461,5
03462,6
03464,6
03465,6
03466,5
03467,5
03470,6
03561,4
03570,4
03574,5
03576,4
03579,4
03580,5
03581,5
03582,4
03583,4
03584,4
03585,5
03588,4
03590,4
03592,4
03595,4
03598,4
03601,6
03602,6
03603,5
03605,6
03607,5
03608,5
03609,5
03741,5
03743,5
03745,5
03748,5
03750,5
03751,5
03752,6
03753,5
03755,5
03765,5
03766,5
03768,5
03770,5
03771,4
03773,5
03774,5
03777,5
03779,5
03780,5
03781,5
03782,5
03784,5
03785,5
03801,6
03809,5
03810,5
03811,6
03812,5
03813,5
03814,5
03815,6
03816,5
03817,5
03818,5
03819,6
03820,6
03824,6
03825,6
03826,6
03827,6
03830,5
03832,5
03833,6
03835,6
03836,5
03837,5
03838,5
03839,6
03840,6
03841,6
03842,6
03844,6
03845,5
03846,5
03848,6
03849,5
03852,5
03853,5
03854,6
03855,5
03856,6
03857,6
03858,6
03860,5
03862,6
03864,5
03865,6
03867,6
03868,6
03869,6
03870,6
03872,5
03873,6
03874,6
03875,5
03878,6
03882,5
03883,5
03884,6
03885,6
03886,5
03887,5
03894,5
03897,5
03901,6
03902,6
03903,6
03904,6
03905,6
03906,5
03907,6
03908,6
03909,6
04001,5
04002,5
04003,6
04005,5
04008,5
04009,5
04010,5
04011,5
04015,5
04017,6
04019,6
04020,5
04021,5
04022,5
04024,5
04027,5
04029,5
04030,5
04032,6
04037,5
04038,5
04039,5
04040,5
04041,5
04042,5
04043,5
04046,6
04047,5
04048,5
04049,5
04050,6
04051,5
04055,5
04061,5
04062,5
04064,6
04066,6
04068,5
04069,5
04071,5
04072,5
04073,5
04074,6
04076,5
04079,6
04083,5
04084,5
04085,5
04086,5
04087,5
04088,5
04090,6
04091,5
04092,5
04093,5
04095,5
04096,6
04097,6
04101,6
04102,6
04103,6
04105,6
04106,6
04107,6
04108,6
04110,6
04210,5
04216,4
04217,5
04219,5
04220,5
04221,5
04222,5
04224,5
04226,5
04228,5
04231,5
04236,5
04237,5
04238,5
04239,5
04240,5
04250,5
04252,5
04253,5
04254,5
04255,5
04256,5
04257,5
04258,5
04259,5
04260,5
04261,5
04263,5
04265,5
04268,5
04270,5
04274,5
04275,5
04276,5
04280,5
04281,5
04282,5
04284,5
04285,5
04287,5
04289,5
04290,5
04292,5
04294,5
04330,5
04342,5
04344,5
04345,5
04346,5
04347,5
04348,5
04349,5
04350,5
04351,5
04352,5
04353,5
04354,5
04355,5
04357,5
04358,5
04360,5
04363,5
04364,5
04401,5
04406,5
04408,5
04410,5
04411,5
04412,5
04413,5
04414,5
04416,5
04417,5
04418,5
04419,5
04421,5
04422,5
04424,4
04426,5
04427,5
04428,5
04429,5
04430,5
04431,5
04434,5
04435,5
04438,5
04441,4
04442,4
04443,5
04444,5
04448,5
04449,5
04450,5
04451,5
04453,5
04455,5
04456,5
04457,5
04459,5
04460,5
04461,5
04462,5
04463,5
04464,5
04468,5
04471,4
04472,5
04473,5
04474,5
04475,5
04476,5
04478,4
04479,5
04487,5
04488,5
04490,5
04493,5
04495,5
04496,5
04497,4
04530,6
04535,5
04537,6
04538,6
04539,6
04541,6
04543,6
04544,6
04547,6
04548,6
04551,6
04553,5
04554,6
04555,5
04556,5
04558,6
04562,6
04563,6
04564,6
04568,6
04572,6
04573,6
04574,5
04576,6
04578,5
04579,5
04605,5
04606,6
04607,6
04609,6
04611,6
04612,6
04613,6
04614,5
04616,6
04617,5
04619,5
04622,5
04623,5
04624,6
04625,6
04626,6
04627,6
04628,5
04629,5
04630,5
04631,6
04634,5
04635,6
04640,5
04642,6
04643,6
04645,6
04646,6
04648,5
04649,6
04650,6
04652,6
04653,6
04654,5
04655,6
04657,5
04658,6
04660,6
04662,6
04664,5
04666,5
04667,6
04668,5
04669,6
04671,5
04672,6
04673,6
04674,6
04675,6
04676,5
04677,6
04679,6
04680,6
04681,6
04683,6
04684,5
04685,6
04691,5
04693,6
04694,5
04730,4
04732,4
04733,5
04735,4
04736,4
04739,4
04740,4
04742,4
04743,4
04745,4
04746,4
04747,4
04750,4
04756,4
04757,4
04758,4
04760,4
04762,4
04763,4
04764,4
04765,4
04766,4
04768,4
04769,4
04772,4
04773,4
04774,4
04776,5
04777,5
04779,4
04780,4
04781,4
04783,4
04785,4
04786,4
04787,4
04841,6
04843,5
04847,5
04848,6
04849,5
04851,7
04852,6
04853,6
04854,6
04856,6
04858,6
04859,6
04860,6
04861,6
04862,5
04863,6
04864,5
04901,5
04910,5
04911,5
04912,5
04915,5
04917,5
04920,5
04921,5
04922,5
04923,5
04924,5
04925,5
04927,5
04928,4
04929,5
04930,5
04932,5
04936,4
04937,5
04938,5
04939,5
04941,5
04942,5
04943,5
04945,4
04947,5
04949,5
04950,5
04951,5
04952,5
04953,4
04954,5
04955,5
04956,5
04957,5
04958,5
04961,4
04962,5
04963,5
04964,4
04965,5
04966,4
04967,5
04969,5
04970,4
04971,5
04973,5
04974,5
04976,5
04978,5
04979,5
04981,5
04982,4
04983,5
04984,5
04985,4
04986,5
04987,5
04988,5
04989,5
05001,5
05031,5
05032,5
05033,5
05034,5
05035,5
05036,5
05037,5
05038,5
05039,5
05040,5
05041,5
05042,4
05043,5
05045,5
05046,4
05048,5
05051,5
05052,5
05053,5
05054,5
05055,5
05056,5
05058,5
05059,5
05060,5
05061,5
05062,5
05065,5
05067,5
05068,5
05069,4
05070,5
05071,5
05072,5
05074,5
05075,5
05076,5
05077,5
05079,5
05081,5
05083,5
05084,5
05085,4
05086,5
05088,5
05089,5
05091,5
05101,5
05142,5
05143,5
05146,5
05148,5
05149,5
05150,5
05151,5
05152,5
05153,5
05154,5
05155,5
05156,5
05158,5
05161,5
05201,5
05250,5
05251,5
05252,5
05253,5
05254,5
05255,5
05257,5
05260,5
05261,5
05262,5
05301,5
05340,5
05341,5
05342,5
05343,5
05344,5
05345,5
05346,5
05350,5
05351,5
05352,5
05353,5
05354,5
05355,5
05356,5
05358,5
05359,5
05360,5
05361,5
05362,5
05363,5
05401,5
05403,5
05404,5
05440,5
05441,4
05442,5
05443,5
05444,5
05445,5
05446,5
05448,5
05450,4
05452,5
05454,5
05455,5
05456,5
05457,5
05458,5
05459,5
05461,5
05462,5
05463,5
05464,5
05465,5
05468,5
05471,5
05472,5
05473,5
05474,5
05476,4
05477,5
05478,5
05482,5
05483,5
05486,5
05487,5
05488,5
05489,5
05491,5
05492,5
05494,5
05495,5
05602,5
05640,5
05641,5
05647,4
05648,5
05649,5
05650,4
05651,4
05652,5
05653,4
05654,5
05655,4
05656,5
05657,4
05658,4
05660,5
05661,4
05663,5
05664,5
05666,4
05667,5
05669,5
05672,5
05673,5
05674,5
05675,5
05676,5
05677,5
05678,5
05679,5
05680,4
05681,4
05682,5
05701,5
05730,5
05732,5
05733,5
05734,5
05735,5
05736,5
05737,5
05738,5
05739,5
05742,5
05743,5
05744,5
05746,5
05747,5
05748,5
05750,5
05751,5
05753,5
05757,5
05758,5
05759,5
05760,5
05761,5
05762,5
05763,5
05764,5
05765,5
05766,5
05767,5
05769,5
05770,5
05772,5
05773,5
05774,5
05775,5
05776,5
05777,5
05778,5
05819,4
05820,4
05821,4
05822,4
05824,4
05825,4
05826,4
05827,4
05828,4
05829,4
05830,4
05832,4
05833,4
05836,4
05837,4
05839,4
05840,4
05841,4
05842,4
05843,4
05845,4
05846,4
05847,4
05851,4
05853,4
05855,4
05857,4
05858,4
05859,4
05860,4
05866,4
05867,4
05868,4
05871,4
05872,4
05873,4
05874,5
05875,4
05902,4
05903,4
05904,4
05905,4
05906,4
05907,4
06001,6
06002,6
06010,6
06013,6
06016,6
06018,6
06019,6
06020,6
06021,6
06022,6
06023,6
06024,6
06026,6
06027,6
06029,6
06031,6
06032,6
06033,6
06035,6
06037,6
06039,6
06040,6
06043,6
06051,6
06052,6
06053,6
06057,6
06058,6
06059,6
06060,6
06062,6
06063,6
06065,6
06066,6
06067,6
06068,6
06069,6
06070,6
06071,6
06073,6
06074,6
06076,6
06078,6
06081,6
06082,6
06084,6
06085,6
06088,6
06089,6
06090,6
06091,6
06092,6
06093,6
06095,6
06096,6
06098,6
06103,6
06105,6
06106,6
06107,6
06108,6
06109,6
06110,6
06111,6
06112,6
06114,6
06117,6
06118,6
06119,6
06120,6
06226,6
06231,6
06232,6
06234,6
06235,6
06237,6
06238,6
06239,6
06241,6
06242,6
06247,6
06248,6
06249,6
06250,6
06254,6
06255,6
06256,6
06259,6
06260,6
06262,6
06264,6
06266,6
06268,6
06269,6
06277,6
06278,6
06279,6
06280,6
06281,6
06282,6
06320,7
06330,6
06331,6
06333,7
06334,6
06335,7
06336,6
06339,6
06340,7
06351,6
06354,6
06355,7
06357,7
06359,6
06360,6
06365,6
06370,6
06371,7
06373,6
06374,6
06375,7
06376,7
06377,6
06378,7
06379,7
06380,6
06382,6
06384,6
06385,7
06390,7
06401,6
06403,6
06405,7
06409,7
06410,6
06412,6
06413,7
06415,6
06416,6
06417,7
06418,6
06419,6
06420,6
06422,6
06423,6
06424,6
06426,7
06437,7
06438,6
06441,6
06442,7
06443,7
06447,6
06450,6
06451,6
06455,6
06457,6
06460,7
06468,6
06469,6
06470,6
06471,7
06472,6
06473,6
06475,7
06477,7
06478,6
06479,6
06480,6
06481,6
06482,6
06483,6
06484,6
06488,6
06489,6
06492,6
06498,7
06504,7
06510,7
06511,7
06512,7
06513,7
06514,6
06515,7
06516,7
06517,7
06518,6
06519,7
06524,6
06525,6
06604,7
06605,7
06606,7
06607,7
06608,7
06610,7
06611,7
06612,6
06614,7
06615,7
06702,6
06704,6
06705,6
06706,6
06708,6
06710,6
06712,6
06716,6
06750,6
06751,6
06752,6
06754,6
06755,6
06756,6
06757,6
06759,6
06762,6
06763,6
06770,6
06776,6
06777,6
06778,6
06779,6
06782,6
06783,6
06784,6
06785,6
06786,6
06787,6
06790,6
06791,6
06793,6
06794,6
06795,6
06796,6
06798,6
06801,6
06804,6
06807,7
06810,6
06811,6
06812,6
06820,7
06830,7
06831,7
06840,7
06850,7
06851,7
06853,7
06854,7
06855,7
06870,7
06877,6
06878,7
06880,7
06883,7
06896,6
06897,7
06901,7
06902,7
